overall_rank,amfi_code,scheme_name,category,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense_inv,rank_maxdd_inv,score
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.33991970400445304,1.4482911703262602,0.2698375144191807,-11.265729075028275,1.46,97.5,100.0,85.0,45.0,82.5,86.25
2,120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.3176924285223732,1.1801011976606492,0.2926358334175106,-18.188513572116292,1.36,90.0,90.0,95.0,65.0,40.0,82.25
3,120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.2957511058901836,1.3067439695428407,0.27330465038306057,-12.97396816518679,1.45,85.0,97.5,90.0,47.5,70.0,82.0
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.3243397122906222,1.0936987435346308,0.2719535450128533,-16.217208574644847,1.38,92.5,85.0,87.5,60.0,52.5,80.75
5,120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.32478927222623,1.0265242847993001,0.2119482701352573,-12.588275606922517,0.8,95.0,77.5,70.0,72.5,72.5,80.0
6,119094,Axis Midcap Fund - Regular - Growth,Equity,0.35102527889035406,0.9982309868636414,0.2607666908004223,-20.960883862039193,1.38,100.0,75.0,80.0,60.0,32.5,77.0
7,119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.3044861306002782,1.208266567372718,0.23201007160635082,-15.012385498645331,1.54,87.5,92.5,77.5,26.25,60.0,74.81
8,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.2917135767741186,1.2349300257743299,0.2827036785246582,-16.39674294693263,1.6,82.5,95.0,92.5,11.25,50.0,73.69
9,101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.28960211096593724,1.0272133278753697,0.21399784776051212,-11.291596329323072,1.6,80.0,80.0,72.5,11.25,80.0,68.19
10,119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.2666309129954312,0.9453082575156094,0.3033696538698332,-28.706005721764548,1.43,72.5,67.5,100.0,50.0,12.5,67.38
11,149323,DSP Midcap Fund - Regular - Growth,Equity,0.26863103668817145,1.1321218524747247,0.26598577542043045,-17.24810575345138,1.61,75.0,87.5,82.5,7.5,47.5,66.75
12,149324,DSP Small Cap Fund - Regular - Growth,Equity,0.2699350260734621,0.9497958246616032,0.3005787817097677,-31.171900300634213,1.52,77.5,70.0,97.5,36.25,10.0,66.69
13,118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.22646647456747715,1.0816591793457044,0.21829397904608644,-17.41407508665723,1.51,67.5,82.5,75.0,41.25,45.0,66.56
